sample_id,filename,filetype,biosample_accession,library_id,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,data_type,shear_method,size_selection,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,ntsm_score,n50,total_gbp,coverage,coverage_over_100kb,coverage_over_200kb,coverage_over_300kb,coverage_over_400kb,coverage_over_500kb,coverage_over_1mb,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG01530,12_02_24_R1041_UL_HPRC_HG01530_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37797099,12_02_24_R1041_UL_HPRC_HG01530_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01530/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01530_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.484212,116820,94.26,28.56,16.51,6.08,1.78,0.5,0.15,0.01,37,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG01610,10_07_24_R1041_UL_HPRC_HG01610_1_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01610_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01610/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01610_1_dorado0.9.1_sup5.0.0.bam,0.494552,74154,96.1,29.12,10.98,3.47,1.18,0.48,0.21,0.03,75,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01610,10_07_24_R1041_UL_HPRC_HG01610_2_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01610_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01610/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01610_2_dorado0.9.1_sup5.0.0.bam,0.502888,84793,48.65,14.74,6.32,2.12,0.77,0.34,0.19,0.03,82,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01610,10_07_24_R1041_UL_HPRC_HG01610_3_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01610_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01610/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01610_3_dorado0.9.1_sup5.0.0.bam,0.50875,94076,56.49,17.12,8.09,2.76,0.93,0.38,0.19,0.04,103,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01624,10_15_24_R1041_UL_HPRC_HG01624_1_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_15_24_R1041_UL_HPRC_HG01624_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01624/raw_data/nanopore/sup5.0.0/10_15_24_R1041_UL_HPRC_HG01624_1_dorado0.9.1_sup5.0.0.bam,0.506315,109570,93.34,28.28,15.32,5.81,1.76,0.5,0.17,0.03,83,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01624,10_15_24_R1041_UL_HPRC_HG01624_2_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_15_24_R1041_UL_HPRC_HG01624_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01624/raw_data/nanopore/sup5.0.0/10_15_24_R1041_UL_HPRC_HG01624_2_dorado0.9.1_sup5.0.0.bam,0.518113,101043,89.94,27.26,13.76,4.82,1.37,0.38,0.14,0.03,76,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01700,10_07_24_R1041_UL_HPRC_HG01700_1_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01700_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01700/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01700_1_dorado0.9.1_sup5.0.0.bam,0.541249,96589,30.63,9.28,4.49,1.42,0.44,0.17,0.09,0.01,33,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01700,10_07_24_R1041_UL_HPRC_HG01700_2_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01700_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01700/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01700_2_dorado0.9.1_sup5.0.0.bam,0.49902,107941,61.17,18.54,9.98,3.39,1.07,0.39,0.18,0.02,49,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01700,10_07_24_R1041_UL_HPRC_HG01700_3_dorado0.9.1_sup5.0.0.bam,bam,#N/A,10_07_24_R1041_UL_HPRC_HG01700_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01700/raw_data/nanopore/sup5.0.0/10_07_24_R1041_UL_HPRC_HG01700_3_dorado0.9.1_sup5.0.0.bam,0.53648,102650,38.93,11.8,6.07,1.7,0.44,0.16,0.08,0.02,57,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01700,12_09_24_R1041_UL_HPRC_HG01700_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,12_09_24_R1041_UL_HPRC_HG01700_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.1.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01700/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG01700_1_dorado1.1.1_sup5.0.0_5mCG_5hmCG.bam,0.485317,107919,100.18,30.36,16.33,5.48,1.59,0.55,0.24,0.03,68,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01766,09_12_23_R1041_HPRC_HG01766_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021662,09_12_23_R1041_HPRC_HG01766_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01766/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/09_12_23_R1041_HPRC_HG01766_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.474658,85334,104.77,31.75,13.47,3.73,0.9,0.24,0.1,0.02,44,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01766,09_12_23_R1041_HPRC_HG01766_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021662,09_12_23_R1041_HPRC_HG01766_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01766/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/09_12_23_R1041_HPRC_HG01766_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.480887,89156,96.04,29.1,12.95,3.71,0.93,0.25,0.11,0.02,50,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01766,09_12_23_R1041_HPRC_HG01766_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021662,09_12_23_R1041_HPRC_HG01766_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01766/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/09_12_23_R1041_HPRC_HG01766_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.480056,91710,104.73,31.74,14.54,4.35,1.06,0.27,0.09,0.01,38,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01784,12_02_24_R1041_UL_HPRC_HG01784_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37797100,12_02_24_R1041_UL_HPRC_HG01784_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01784_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.500869,115878,117.64,35.65,20.51,7.05,1.65,0.36,0.12,0.02,46,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG01784,12_02_24_R1041_UL_HPRC_HG01784_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37797100,12_02_24_R1041_UL_HPRC_HG01784_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01784/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01784_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.508269,116034,111.9,33.91,19.52,6.72,1.59,0.33,0.1,0.01,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year3_R10,R1041
HG01786,11_28_23_R1041_HPRC_HG01786_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021633,11_28_23_R1041_HPRC_HG01786_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01786/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_28_23_R1041_HPRC_HG01786_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.400025,64157,92.76,28.11,7.75,1.23,0.27,0.14,0.1,0.03,74,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01786,11_28_23_R1041_HPRC_HG01786_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021633,11_28_23_R1041_HPRC_HG01786_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01786/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_28_23_R1041_HPRC_HG01786_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.429299,69586,108.58,32.9,10.02,1.47,0.24,0.09,0.06,0.02,46,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01786,11_28_23_R1041_HPRC_HG01786_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021633,11_28_23_R1041_HPRC_HG01786_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01786/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_28_23_R1041_HPRC_HG01786_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.459843,72007,65.7,19.91,6.41,1.03,0.16,0.06,0.04,0.01,34,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01796,10_28_24_R1041_UL_HPRC_HG01796_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,10_28_24_R1041_UL_HPRC_HG01796_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01796/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_28_24_R1041_UL_HPRC_HG01796_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.488604,89050,95,28.79,12.48,2.89,0.67,0.2,0.1,0.01,39,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01796,10_28_24_R1041_UL_HPRC_HG01796_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,10_28_24_R1041_UL_HPRC_HG01796_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01796/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_28_24_R1041_UL_HPRC_HG01796_2_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.503369,88492,72.96,22.11,9.48,2.07,0.47,0.15,0.07,0.01,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01796,11_04_24_R1041_UL_HPRC_HG01796_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,bam,#N/A,11_04_24_R1041_UL_HPRC_HG01796_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.1,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01796/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_04_24_R1041_UL_HPRC_HG01796_1_dorado0.9.1_sup5.0.0_5mCG_5hmCG.bam,0.5015,86384,74.69,22.63,9.45,2.18,0.48,0.12,0.05,0.01,32,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year5,R1041
HG01798,08_29_23_R1041_HPRC_HG01798_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021698,08_29_23_R1041_HPRC_HG01798_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01798/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG01798_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.430224,91764,62.84,19.04,8.75,2.58,0.61,0.14,0.06,0.02,42,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01798,08_29_23_R1041_HPRC_HG01798_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021698,08_29_23_R1041_HPRC_HG01798_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01798/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG01798_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.467356,111836,61.34,18.59,10.4,3.31,0.78,0.16,0.05,0.01,20,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01798,08_29_23_R1041_HPRC_HG01798_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021698,08_29_23_R1041_HPRC_HG01798_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01798/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/08_29_23_R1041_HPRC_HG01798_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.46583,105514,49.8,15.09,7.98,2.36,0.54,0.11,0.04,0.01,17,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01884,12_02_24_R1041_UL_HPRC_HG01884_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267393,12_02_24_R1041_UL_HPRC_HG01884_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01884/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01884_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,0.516229,98637,125.88,38.14,18.8,4.71,0.74,0.12,0.04,0,10,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01884,12_02_24_R1041_UL_HPRC_HG01884_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267393,12_02_24_R1041_UL_HPRC_HG01884_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01884/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01884_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,0.466361,101010,117.2,35.52,17.96,4.69,0.78,0.13,0.05,0,11,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01891,08_26_24_R1041_UL_HPRC_HG01891_2_dorado1.0.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN17861236,08_26_24_R1041_UL_HPRC_HG01891_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.0.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01891/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/08_26_24_R1041_UL_HPRC_HG01891_2_dorado1.0.0_sup5.0.0_5mCG_5hmCG.bam,0.469064,102255,87.66,26.56,13.54,4.99,1.59,0.54,0.22,0.03,65,,SRP305758,PRJNA701308,UCSC_HPRC_ONT_Year1_R10,R1041
HG01891,08_26_24_R1041_UL_HPRC_HG01891_1_dorado1.0.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN17861236,08_26_24_R1041_UL_HPRC_HG01891_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads with 5mCG_5hmCG mods,no shear,no SS,SQK-ULK114,dorado,1.0.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01891/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/08_26_24_R1041_UL_HPRC_HG01891_1_dorado1.0.0_sup5.0.0_5mCG_5hmCG.bam,0.469751,93015,83.35,25.26,11.9,4.37,1.43,0.51,0.21,0.04,100,,SRP305758,PRJNA701308,UCSC_HPRC_ONT_Year1_R10,R1041
HG01894,10_10_23_R1041_HPRC_HG01894_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021684,10_10_23_R1041_HPRC_HG01894_1,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01894/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_10_23_R1041_HPRC_HG01894_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.462474,105912,54.46,16.5,8.73,2.84,0.72,0.18,0.07,0.01,28,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01894,10_10_23_R1041_HPRC_HG01894_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021684,10_10_23_R1041_HPRC_HG01894_2,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01894/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_10_23_R1041_HPRC_HG01894_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.443318,106710,54.92,16.64,8.86,2.91,0.76,0.2,0.08,0.02,40,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
HG01894,10_10_23_R1041_HPRC_HG01894_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN41021684,10_10_23_R1041_HPRC_HG01894_3,WGS,GENOMIC,RANDOM,single,OXFORD_NANOPORE,PromethION,UL sequencing using ONT-NEB method,unaligned reads,no shear,no SS,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01894/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/10_10_23_R1041_HPRC_HG01894_3_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,0.475972,107081,51,15.45,8.25,2.74,0.71,0.18,0.06,0.01,30,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year4,R1041
